Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
ZINCUM METALLICUM,"Pain after a light meal, with tympanitis. Pain in spot beneath navel. Gurgling and griping; distended. Flatulent colic, with retraction of abdomen (Plumb). Enlarged, indurated sore liver. Reflex symptoms from floating kidney. Griping after eating.",,,,,Pain in small of back. Cannot bear back touched (Sul; Therid; Cinch). Tension and stinging between shoulders. Spinal irritation. Dull aching about the last dorsal or first lumbar vertebrae; worse sitting. Burning along spine. Nape of neck weary from writing or any exertion. Tearing in shoulder-blades.,,,,,,,,,,,,,,,,,,,,"Tearing, stitches, and external swelling. Discharge of fetid pus.","Lameness, weakness, trembling and twitching of various muscles. Chilblains (Agar). Feet in continued motion; cannot keep still. Large varicose veins on legs. Sweaty. Convulsions, with pale face. Transverse pains, especially in upper extremity. Soles of feet sensitive. Steps with entire sole of foot on floor.",,"Pterygium; smarting, lachrymation, itching. Pressure as if pressed into head. Itching and soreness of lids and inner angles. Ptosis. Rolling of eyes. Blurring of one-half of vision; worse, stimulants. Squinting. Amaurosis, with severe headache. Red and inflamed conjunctiva; worse, inner canthus.",,"Pale lips, and corners of mouth cracked. Redness and itching eruption on chin. Tearing in facial bones.","Ovarian pain, especially left; can't keep still (Viburn). Nymphomania of lying-in women. Menses too late, suppressed; lochia suppressed (Puls). Breasts painful. Nipples sore. Menses flow more at night (Bov). Complaints all better during menstrual flow. (Eupion; Lach). All the female symptoms are associated with restlessness, depression, coldness spinal tenderness and restless feet. Dry cough before and during menses.","Frequent, febrile shiverings down back. Cold extremities. Night-sweat. Profuse sweat on feet.",,,,,,,"Feels as if he would fall to left side. Headache from the smallest quantity of wine. Hydrocephalus. Rolls head from side to side. Bores head into pillow. Occipital pain, with weight on vertex. Automatic motion of head and hands. Brain-fag; headaches of overtaxed school children. Forehead cool; base of brain hot. Roaring in head. Starting in fright.",,,,,,,,,"Testicles swelled, drawn up. Erections violent. Emissions with hypochondriasis. Falling off of hair (pubic). Drawing in testicles up to spermatic cord.",,"Weak memory. Very sensitive to noise. Averse to work, to talk. Child repeats everything said to it. Fears arrest on account of a supposed crime. Melancholia. Lethargic, stupid. Paresis.",,"Worse, at menstrual period, from touch, between 5 to 7 pm; after dinner, from wine. Better, while eating, discharges, and appearance of eruptions.",,Teeth loose. Gums bleed. Gnashing of teeth. Bloody taste. Blisters on tongue. Difficult dentition; child weak; cold and restless feet.,,,,,,,,,Sore feeling high up; pressure upon root.,,,,,,"Hard, small, constipated stool. Cholera infantum, with tenesmus; green mucous discharges. Sudden cessation of diarrhoea, followed by cerebral symptoms.",,,"Burning pressure beneath sternum. Constriction and cutting in chest. Hoarseness. Debilitating, spasmodic cough; worse, eating sweet things. Child grasps genitals during cough. Asthmatic bronchitis, with constriction, of chest. Dyspnoea better as soon as expectoration appears.",,,"Varicose veins, especially of lower extremities (Puls). Formication of feet and legs as from bugs crawling over the skin, preventing sleep. Eczema, especially in the anaemic and neurotic. Itching of thighs and hollow of knees. Retrocession of eruptions.","Cries out during sleep; body jerks; wakes frightened, stared. Nervous motion of feet when asleep. Loud screaming out at night in sleep without being aware of it. Somnambulism (Kali phos).",,"Hiccough, nausea, vomiting of bitter mucus. Burning in stomach, heartburn from sweet things. Cannot stand smallest quantity of wine. Ravenous hunger about 11 am (Sulph). Great greediness when eating; cannot eat fast enough. Atonic dyspepsia, feeling as if stomach were collapsed.",,,,,,Dry; constant inclination to hawk up tenacious mucus. Rawness and dryness in throat and larynx. Pain in muscles of throat when swallowing.,,,,,"Can only void urine when sitting bent backwards. Hysterical retention. Involuntary urination when walking, coughing or sneezing.",,
XANTOXYLUM FRAXINEUM,"Griping and diarrhoea. Dysentery, with tympanites, tenesmus; inodorous discharges.",,,,,,,,,,,,,,,,,,,,,,,,,,"Paralysis of left side following spinal disorders. Numbness of left side; impairment of nerves of motion. Hemiplegia. Pain in nape, extending down back. Sciatica; worse, hot weather. Anterior, crural neuralgia (Staph). Left arm numb. Neuralgic shooting pain, as from electricity, all over limb.",,,,Neuralgia of lower jaw. Dryness of mouth and fauces. Pharyngitis (Wyethia).,"Menses too early and painful. Ovarian neuralgia, with pain in loins and lower abdomen; worse, left side, extending down the thigh, along genito-crural nerves. Neuralgic dysmenorrhoea, with neuralgic headaches; pain in back and down legs. Menses thick, almost black. After-pains (Arnica; Cup; Cham). Leucorrhoea at time of menses. Neurasthenic patients who are thin, emaciated; poor assimilation with insomnia and occipital headache.",,,,,,,,"Feels full. Weight and pain on vertex. Pain over eyes, throbbing pressure over nose, pressure in forehead; head seems divided; ringing in ears. Occipital headache. Sick headache with dizziness and flatulence.",,,,,,,,,,,"Nervous, frightened. Mental depression.",,,,,,,,,,,,,,,,,,,,,,"Aphonia. Constant desire to take a long breath; oppression of chest. Dry cough, day and night.",,,,Hard and unrefreshing; dreams of flying. Sleeplessness in neurasthenics.,,,,,,,,,,,,,,,
X-RAY,,,,,,,,,,,,,,,,,,,"Sugar of milk saturated with the current (Anxiety, nervous tremors, restlessness, palpitation, headaches. Dreads approach of thunder-storms; heaviness of limbs).",,,,,,,,Rheumatic pains. General tired and sick feeling. Palms rough and scaly.,,,,,,,,,,,,,"Sticking pains in different parts of head and face. Dull pain in right upper jaw. Stiff neck. Sudden cricks in neck, pains more severe behind ears. Pain in muscles of neck when lifting head from pillow. Fullness in ears, ringing in head.",,,,,,"The Magnet.--Sugar of milk or distilled water exposed to influence of entire mass (Burning lancinations throughout the body; pains as if broken in joints, when cartilages of two bones touch; shooting and jerkings; headache as if a nail were driven in; tendency of old wounds to bleed afresh).","North pole of the magnet.--(Disturbed sleep, somnambulism, cracking in cervical vertebrae, sensation of coldness; toothache).","South pole of the magnet.--(Severe pain in inner side of nail of the big toe, ingrowing toenail; easy dislocation of joints of foot; feet are painful when letting them hang down).",Lewd dreams. Sexual desire lost. Re-establishes suppressed gonorrhoea.,,,,"Worse, in bed, afternoon, evening and night; open air.",,"Tongue dry, rough, sore. Throat painful on swallowing. Nausea.",,,,,,,,,,,,,,,,,,,,,"Dry, itching eczema. Erythema around roots of nails. Skin dry, wrinkled. Painful cracks. Warty growths. Nails thicken. Psoriasis.",,,,,,,,,,,,,,,,
VINCA MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Excessive menstruation with great weakness. Passive uterine haemorrhages (Ust; Trill; Secale). Menorrhagia; continuous flow, particularly at climacteric (Lach). Haemorrhages from fibroids.",,,,,,,,"Tearing pain in vertex, ringing and whistling in ears. Whirling vertigo, with flickering before eyes. Spots on scalp, oozing moisture, matting hair together. Corrosive itching of scalp. Bald spots. Plica polonica. Irresistible desire to scratch.",,,,,,,,,,,,,,,,,,,,,,,,Tip gets red easily. Moist eruption on septum. Stoppage of one nostril. Sores in nose. Seborrhoea upper lip and base of nose.,,,,,,,,,,,,"Corrosive itching. Great sensitiveness of skin, with redness and soreness from slight rubbing. Eczema of head and face; pustules, itching, burning, and offensive odor. Hair matted together.",,,,,,,,,Difficult swallowing. Ulcers. Frequent hawking. Diphtheria.,,,,,,,
WYETHIA HELENOIDES,Pain below ribs of right side.,,,,,,,,,,,,,,,,,,,,,,,,,,"Pain in back; extends to end of spine. Pain right arm, stiffness of wrist and hand. Aching pains all over.",,,,,"Pain in left ovary, shooting down to knee. Pain in uterus; could outline its contour.",Chill at 11 am. Thirst for ice-water during chill. No thirst with heat. Profuse sweat all night. Terrific headache during sweat.,,,,,,,"Nervous, uneasy, depressed. Dizzy. Rush of blood to head. Sharp pain in forehead.",,,,,,,,,,,,,,,Feels as if scalded; sensation of heat down oesophagus. Itching of the palate.,,,,,,,,,,,,,,,,,,"Dry, hacking cough, caused by tickling of the epiglottis. Burning sensation in the bronchial tubes. Tendency to get hoarse talking or singing; throat hot, dry. Dry asthma.",,,,,,Sense of weight. Belching of wind alternating with hiccough. Nausea and vomiting.,,"Loose, dark, at night. Itching of anus. Constipation, with haemorrhoids; not bleeding.",,,,"Constant clearing and hemming. Dry, posterior nares; no relief from clearing. Throat feels swollen; epiglottis dry and burning. Difficult swallowing. Constant desire to swallow saliva. Uvula feels elongated.",,,,,,,
VIOLA TRICOLOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy, pressing-outward pain. Eczema of scalp, with swollen glands. Face hot and sweating after eating.",,,,,,,,,"Swelling of prepuce, burning in glans. Itching. Involuntary, seminal emissions at stool.",,,,"Worse, winter; 11 am. Compare: Lycop.",,,,,,,,,,,,,,,,,,,,,,,"Impetigo. Intolerable itching. Eruptions, particularly over face and head, with burning, itching; worse at night. Thick scabs, which crack and exude a tenacious yellow pus. Eczema impetigonoides of the face. Sycosis.",,,,,,,,,"Much phlegm, causing hawking; worse in the air. Swallowing difficult.",,,"Copious; disagreeable, cat-like odor.",,,,
VISCUM ALBUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pains alternate in the knee and ankle with shoulder and elbow. Sciatica. Tearing, shooting pains in both thighs and upper extremities. A glow rises from the feet to the head; seems to be on fire. Periodic pains from sacrum into pelvis, worse in bed, with pains into thighs and upper extremities. General tremor, as if all muscles were in state of fibrillary contraction. Dropsy of extremities. Sensation of a spider crawling over back of hand and foot. Itching all over. Compressing pain in feet.",,,,,"Haemorrhage, with pain; blood partly clots and bright red. Climacteric complaints (Lach; Sulph). Pain from sacrum into pelvis, with tearing, shooting pains from above downwards. Retained placenta (Secale). Chronic endometritis. Metrorrhagia. Ovaralgia, especially left.",,,,,,,,Feeling as if whole vault of skull were lifted up. Blue ring around eyes. Double vision. Buzzing and stopped-up feeling in ear. Deafness from cold. Facial muscles in constant agitation. Persistent vertigo.,,"Hypertrophy with valvular insufficiency; pulse small and weak; unable to rest in a reclining position. Palpitation during coitus. Low tension. Failing compensation, dyspnoea worse lying on left side. Weight and oppression of heart; as if a hand were squeezing it; tickling sensation about heart.",,,,,,,,,,,"Worse, winter, cold, stormy weather; in bed. Movement; lying on left side.",,,,,,,,,,,,,,,,,,,,"Dyspnoea; feeling of suffocation when lying on left side. Spasmodic cough. Asthma, if connected with gout or rheumatism. Stertorous breathing.",,,,,,,,,,,,,,,,,,,
VIPERA BERUS,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patient is obliged to keep the extremities elevated. When they are allowed to hang down, it seems as if they would burst, and the pain is unbearable (Diad). Varicose veins and acute phlebitis. Veins swollen, sensitive; bursting pain. Severe cramps in lower extremities.",,,,"Excessively swollen. Lips and tongue swollen, livid, protruding. Tongue dry, brown, black. Speech difficult.",,,,,,,,,,,,,,"Violent pain in enlarged liver, with jaundice and fever; extends to shoulder and hip.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livid. Skin peels in large plates. Lymphangioma, boils, carbuncles, with bursting sensation, relieved by elevating parts.",,,,,,,,,,,,,,,,
VIBURNUM OPULUS,Sudden cramps and colic pains. Tender to pressure about umbilicus.,,,,,,,,,,,,,,,,,,,,,,,,,,"Stiff, sore feeling in nape of neck. Feels as if back would break. Sacral backache. Lower extremities weak and heavy.",,,,,"Menses too late, scanty, lasting a few hours, offensive in odor, with crampy pains, cramps extend down thighs (Bell). Bearing-down pains before. Ovarian region feels heavy and congested. Aching in sacrum and pubes, with pain in anterior muscles of thighs (Xanthox); spasmodic and membranous dysmenorrhoea (Borax). Leucorrhoea, excoriating. Smarting and itching of genitals. Faint on attempting to sit up. Frequent and very early miscarriage, causing seeming sterility. Pains from back to loins and womb worse early morning.",,,,,,,,Irritable. Vertigo; feels as if falling forward. Severe pain in temporal region. Sore feeling in eyeballs.,,,,,,,,,,,,,"Worse, lying on affected side, in warm room, evening and night. Better, in open air and resting.",,,,,,,,,,,,,,,,,"Stools large and hard, with cutting in rectum and soreness of anus.",,,,,,,,,Constant nausea; relieved by eating. No appetite.,,,,,,,,,"Frequent urging. Copious, pale, light-colored urine. Cannot hold water on coughing or walking.",,,,
VIOLA ODORATA,,,,,,,,,,,,,,,,,,,,,,,,,,Shooting in ears. Aversion to music. Roaring and tickling. Deep stitches beneath ears. Deafness; otorrhoea. Ear affections with pain in eyeballs.,Rheumatism of the deltoid muscle. Trembling of limbs. Pressing pain in right carpal and metacarpal joints. (Ulmus).,,"Heaviness of lids. Eyeball feels compressed. Flames before eyes. Myopia. Choroiditis. Illusions of vision; fiery, serpentine circles.",,,,,,,,,,,"Burning of the forehead. Vertigo; everything in head seems to whirl around. Heaviness of head, with sensation of weakness in muscles of nape of neck. Scalp tense; must knit the brows. Tendency to pain immediately above eyebrows. Throbbing under eye and temple. Headache across the forehead. Acts upon frontal sinuses. Hysterical attacks in tuberculous patients.",,,,,,,,,,,,,"Worse, cool air.",,,,,,,,,,,,,,,,,,,,"Torpor in the end of nose, as from a blow. Dry, short, spasmodic cough and dyspnoea; worse in daytime. Oppression of chest. Pertussis, with hoarseness. Dyspnoea during pregnancy. Difficult breathing, anxiety and palpitation, with hysteria.",,,,,,,,,,,,,,,Milky urine; smells strong. Enuresis in nervous children.,,,,
VESPA CRABRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Painful and swollen. Erysipelatous inflammation of lids. Chemosis of conjunctiva. Swelling of mouth and throat, with violent burning pains.","Menstruation, preceded by depression, pain, pressure, and constipation. Left ovary markedly affected, with frequent burning, micturition; sacral pains extending up back. Erosion around external os.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erythema; intense itching; burning. Boils; stinging and soreness, relieved by bathing with vinegar. Wheals, macules and swellings with burning, stinging and soreness. Erythema multiforme, relieved by bathing with vinegar.",,,,,,,,,,,,Burning with micturition; also itching.,,,,
VERBASCUM THAPSUS,"Pain extends deep down, causing contraction of sphincter ani.",,,,,,,,,,,,,,,,,,,,,,,,,"Otalgia, with a sense of obstruction. Deafness. Dry, scaly condition of meatus (use locally).","Cramp-like pain in soles, right foot, and knee. Lower extremities feel heavy. Thumb feels numb. Neuralgic pain in left ankle. Stiffness and soreness of joints of lower extremities.",,,,"Neuralgia affecting zygoma, temporo maxillary joint, and ear (Menyanth), particularly of left side, with lachrymation, coryza, and sensation as if parts were crushed with tongs. Talking, sneezing, and change of temperature aggravate the pains; also, pressing teeth together. Pains seem to come in flashes, excited by least movement, occurring periodically at same hour in morning and afternoon each day.",,,,,,,,,,,,,,,,,,,,,,"Worse, change of temperature, talking, sneezing, biting hard (inferior dental nerve); from 9 am to 4 pm.",,,,,,,,,,,,,,,,,"Many movements a day, with twisting about navel. Haemorrhoids, with obstructed, hardened stool. Inflamed and painful piles.",,,"Hoarse; voice deep, harsh; sounds like a trumpet; ""basso profundo"". Cough; worse at night. Asthma. Soreness in pharynx, cough during sleep.",,,,,,,,,,,,,,,Constant dribbling. Enuresis. Burning urination. Increase with pressure in bladder.,,,,
VERATRUM ALBUM,"Sinking and empty feeling. Cold feeling in stomach and abdomen. Pain in abdomen preceding stool. Cramps, knotting abdomen and legs. Sensation as if hernia would protrude (Nux). Abdomen sensitive to pressure, swollen with terrible colic.",,,,,,,,,,,,,,,,,,,,,,,,,,"Soreness and tenderness of joints. Sciatica; pains like electric flashes. Cramps in calves. Neuralgia in brachial plexus; arms feel swollen, cold, paralytic.",,"Surrounded by dark rings. Staring; turned upwards, without luster. Lachrymation with redness. Lids dry heavy.",,"Features sunken. Icy coldness of tip of nose and face. Nose grows more pointed. Tearing in cheeks, temples, and eyes. Face very pale, blue, collapsed, cold.","Menses too early; profuse and exhausting. Dysmenorrhoea, with coldness, purging, cold sweat. Faints from least exertion. Sexual mania precedes menses.","Chill, with extreme coldness and thirst.",,,,,,,"Contracted features. Cold sweat on forehead. Sensation of a lump of ice on vertex. Headache, with nausea, vomiting, diarrhoea, pale face. Neck too weak to hold head up.",,"Palpitation with anxiety and rapid audible respiration. Pulse irregular, feeble. Tobacco heart from chewing. Intermittent action of heart in feeble persons with some hepatic obstruction. One of the best heart stimulants in homeopathic doses (J. S. Mitchell).",,,,,,,,,"Melancholy, with stupor and mania. Sits in a stupid manner; notices nothing; Sullen indifference. Frenzy of excitement; shrieks, curses. Puerperal mania. Aimless wandering from home. Delusions of impending misfortunes. Mania, with desire to cut and tear things (Tarant). Attacks of pain, with delirium driving to madness. Cursing, howling all night.",,"Worse, at night; wet, cold weather. Better, walking and warmth.",,"Tongue pale, cold; cool sensation, as from peppermint. Dry in center not relieved by water. Salty saliva. Toothache, teeth feel heavy as if filled with lead.",,,,,,,,,,,,,,,"Constipation from inactivity of rectum, with heat and headache. Constipation of babies, and when produced by very cold weather. Stools large, with much straining until exhausted, with cold sweat. Diarrhoea, very painful, watery, copious, and forcibly evacuated, followed by great prostration. Evacuations of cholera morbus and true cholera when vomiting accompanies the purging.",,,"Hoarse, weak voice. Rattling in chest. Much mucus in bronchial tubes, that cannot be coughed up. Coarse rales. Chronic bronchitis in the aged (Hippozanin). Loud barking, stomach cough, followed by eructation of gas; worse, warm room. Hollow cough, tickling low down, with blue face. Cough comes on from drinking, especially cold water; urine escapes when coughing. Cough on entering warm room from cold air (Bryonia).",,,"Blue, cold, clammy, inelastic, cold as death. Cold sweat. Wrinkling of skin of hands and feet.",,,"Voracious appetite. Thirst for cold water, but is vomited as soon as swallowed. Averse to warm food. Hiccough. Copious vomiting and nausea; aggravated by drinking and least motion. Craves fruit, juicy and cold things, ice, salt. Anguish in pit of stomach. Great weakness after vomiting. Gastric irritability with chronic vomiting of food.",,,,,,,,,,,,,
